Container, 0, 0, 0, 123.511, 123.511, 0
Container, 0, L1, 0, 123.511, 123.511, AS_lille
Container, AS_lille, L2, 0, 123.511, 123.511, AS_chimint
Container, AS_chimint, HOST, 0, 123.511, 123.511, chimint-16.lille.grid5000.fr
Container, AS_chimint, HOST, 0, 123.511, 123.511, chimint-15.lille.grid5000.fr
Container, AS_chimint, HOST, 0, 123.511, 123.511, chimint-14.lille.grid5000.fr
Container, AS_chimint, HOST, 0, 123.511, 123.511, chimint-13.lille.grid5000.fr
Container, AS_chimint, HOST, 0, 123.511, 123.511, chimint-12.lille.grid5000.fr
Container, AS_chimint, HOST, 0, 123.511, 123.511, chimint-11.lille.grid5000.fr
Container, AS_chimint, HOST, 0, 123.511, 123.511, chimint-10.lille.grid5000.fr
Container, AS_chimint, HOST, 0, 123.511, 123.511, chimint-9.lille.grid5000.fr
Container, AS_chimint, HOST, 0, 123.511, 123.511, chimint-8.lille.grid5000.fr
Container, AS_chimint, HOST, 0, 123.511, 123.511, chimint-7.lille.grid5000.fr
Container, AS_chimint, HOST, 0, 123.511, 123.511, chimint-6.lille.grid5000.fr
Container, AS_chimint, HOST, 0, 123.511, 123.511, chimint-5.lille.grid5000.fr
Container, AS_chimint, HOST, 0, 123.511, 123.511, chimint-4.lille.grid5000.fr
Container, AS_chimint, HOST, 0, 123.511, 123.511, chimint-3.lille.grid5000.fr
Container, AS_chimint, HOST, 0, 123.511, 123.511, chimint-2.lille.grid5000.fr
Container, AS_chimint, HOST, 0, 123.511, 123.511, chimint-1.lille.grid5000.fr
Container, AS_chimint, HOST, 0, 123.511, 123.511, chimint-20.lille.grid5000.fr
Container, AS_chimint, HOST, 0, 123.511, 123.511, chimint-19.lille.grid5000.fr
Container, AS_chimint, HOST, 0, 123.511, 123.511, chimint-18.lille.grid5000.fr
Container, AS_chimint, HOST, 0, 123.511, 123.511, chimint-17.lille.grid5000.fr
Container, AS_chimint, ROUTER, 0, 123.511, 123.511, chimint-AS_chimint_router.lille.grid5000.fr
Container, AS_chimint, LINK, 0, 123.511, 123.511, AS_chimint_link_16_UP
Container, AS_chimint, LINK, 0, 123.511, 123.511, AS_chimint_link_15_DOWN
Container, AS_chimint, LINK, 0, 123.511, 123.511, AS_chimint_link_15_UP
Container, AS_chimint, LINK, 0, 123.511, 123.511, AS_chimint_link_14_DOWN
Container, AS_chimint, LINK, 0, 123.511, 123.511, AS_chimint_link_14_UP
