State, 100126290, MAP-INPUT-FETCHING, 20.412251, 20.412251, 0.000000, 0.000000, BEGIN
State, 100126290, MAP-INPUT-FETCHING, 20.412251, 106.634493, 86.222242, 0.000000, END
State, 100126290, MAP-INPUT-FETCHING, 106.634493, 106.634493, 0.000000, 0.000000, BEGIN
State, 100126290, MAP-INPUT-FETCHING, 106.634493, 818.707375, 712.072882, 0.000000, END
State, 100126290, REDUCE-INPUT-FETCHING, 63.248560, 184.607953, 121.359393, 0.000000, BEGIN
State, 100126290, REDUCE-INPUT-FETCHING, 184.607953, 211.061780, 26.453827, 0.000000, END
State, 100126290, REDUCE-INPUT-FETCHING, 211.061780, 223.985937, 12.924157, 0.000000, BEGIN
State, 100126290, REDUCE-INPUT-FETCHING, 223.985937, 818.707375, 594.721438, 0.000000, END
State, 100126290, MAP-EXECUTION, 20.412251, 97.335328, 76.923077, 0.000000, BEGIN
State, 100126290, MAP-EXECUTION, 97.335328, 106.634493, 9.299165, 0.000000, END
State, 100126290, MAP-EXECUTION, 106.634493, 136.848560, 30.214067, 0.000000, BEGIN
State, 100126290, MAP-EXECUTION, 136.848560, 818.707375, 681.858815, 0.000000, END
State, 100126290, REDUCE-EXECUTION, 184.607953, 223.985937, 39.377984, 0.000000, BEGIN
State, 100126290, REDUCE-EXECUTION, 223.985937, 421.296681, 197.310744, 0.000000, BEGIN
State, 100126290, REDUCE-EXECUTION, 421.296681, 707.256694, 285.960013, 0.000000, END
State, 100126290, REDUCE-EXECUTION, 707.256694, 818.707375, 111.450681, 0.000000, END
State, 100117943, MAP-INPUT-FETCHING, 19.860464, 19.860464, 0.000000, 0.000000, BEGIN
State, 100117943, MAP-INPUT-FETCHING, 19.860464, 106.082705, 86.222241, 0.000000, END
State, 100117943, MAP-INPUT-FETCHING, 106.082705, 106.082705, 0.000000, 0.000000, BEGIN
State, 100117943, MAP-INPUT-FETCHING, 106.082705, 818.707375, 712.624670, 0.000000, END
State, 100117943, REDUCE-INPUT-FETCHING, 62.696773, 188.612995, 125.916222, 0.000000, BEGIN
State, 100117943, REDUCE-INPUT-FETCHING, 188.612995, 226.374129, 37.761134, 0.000000, END
State, 100117943, REDUCE-INPUT-FETCHING, 226.374129, 240.767739, 14.393610, 0.000000, BEGIN
State, 100117943, REDUCE-INPUT-FETCHING, 240.767739, 818.707375, 577.939636, 0.000000, END
State, 100117943, MAP-EXECUTION, 19.860464, 103.193797, 83.333333, 0.000000, BEGIN
State, 100117943, MAP-EXECUTION, 103.193797, 106.082705, 2.888908, 0.000000, END
State, 100117943, MAP-EXECUTION, 106.082705, 136.848560, 30.765855, 0.000000, BEGIN
State, 100117943, MAP-EXECUTION, 136.848560, 818.707375, 681.858815, 0.000000, END
State, 100117943, REDUCE-EXECUTION, 188.612995, 240.767739, 52.154744, 0.000000, BEGIN
State, 100117943, REDUCE-EXECUTION, 240.767739, 722.095934, 481.328195, 0.000000, BEGIN
State, 100117943, REDUCE-EXECUTION, 722.095934, 812.021839, 89.925905, 0.000000, END
State, 100117943, REDUCE-EXECUTION, 812.021839, 818.707375, 6.685536, 0.000000, END
State, 100094952, MAP-INPUT-FETCHING, 19.032755, 19.032755, 0.000000, 0.000000, BEGIN
State, 100094952, MAP-INPUT-FETCHING, 19.032755, 818.707375, 799.674620, 0.000000, END
State, 100094952, REDUCE-INPUT-FETCHING, 61.869064, 203.814312, 141.945248, 0.000000, BEGIN
State, 100094952, REDUCE-INPUT-FETCHING, 203.814312, 818.707375, 614.893063, 0.000000, END
State, 100094952, MAP-EXECUTION, 19.032755, 180.493944, 161.461189, 0.000000, BEGIN
State, 100094952, MAP-EXECUTION, 180.493944, 818.707375, 638.213431, 0.000000, END
State, 100094952, REDUCE-EXECUTION, 203.814312, 812.021839, 608.207527, 0.000000, BEGIN
State, 100094952, REDUCE-EXECUTION, 812.021839, 818.707375, 6.685536, 0.000000, END
State, 100090691, MAP-INPUT-FETCHING, 17.309403, 17.309403, 0.000000, 0.000000, BEGIN
State, 100090691, MAP-INPUT-FETCHING, 17.309403, 120.388062, 103.078659, 0.000000, END
State, 100090691, MAP-INPUT-FETCHING, 120.388062, 120.388062, 0.000000, 0.000000, BEGIN
State, 100090691, MAP-INPUT-FETCHING, 120.388062, 818.707375, 698.319313, 0.000000, END
State, 100090691, MAP-EXECUTION, 17.309403, 117.309403, 100.000000, 0.000000, BEGIN
State, 100090691, MAP-EXECUTION, 117.309403, 120.388062, 3.078659, 0.000000, END
State, 100090691, MAP-EXECUTION, 120.388062, 136.848560, 16.460498, 0.000000, BEGIN
State, 100090691, MAP-EXECUTION, 136.848560, 818.707375, 681.858815, 0.000000, END
State, 100066658, MAP-INPUT-FETCHING, 17.212765, 17.212765, 0.000000, 0.000000, BEGIN
