Topology,NumberOfNodes,Platform,Byzantine,MapDuration,ReduceDuration,TotalDuration,Updated,Config
Cluster,10,BLOCKCHAIN,0,250.16,249.98,280.16,TRUE,sumlowblocktime
Cluster,10,BLOCKCHAIN,0,270.07,251.77,300.07,TRUE,sum
Cluster,10,BLOCKCHAIN,0,241.71,243.53,273.71,TRUE,sumzeroblocktime
Cluster,10,BLOCKCHAIN,10,250.16,249.98,280.16,TRUE,sumlowblocktime
Cluster,10,BLOCKCHAIN,10,270.07,251.77,300.07,TRUE,sum
Cluster,10,BLOCKCHAIN,10,241.71,243.53,273.71,TRUE,sumzeroblocktime
Cluster,10,BLOCKCHAIN,20,250.16,249.98,280.16,TRUE,sumlowblocktime
Cluster,10,BLOCKCHAIN,20,270.07,251.77,300.07,TRUE,sum
Cluster,10,BLOCKCHAIN,20,241.71,243.53,273.71,TRUE,sumzeroblocktime
Cluster,10,BLOCKCHAIN,30,250.16,249.98,280.16,TRUE,sumlowblocktime
Cluster,10,BLOCKCHAIN,30,270.07,251.77,300.07,TRUE,sum
Cluster,10,BLOCKCHAIN,30,241.71,243.53,273.71,TRUE,sumzeroblocktime
Cluster,10,BLOCKCHAIN,40,250.16,249.98,280.16,TRUE,sumlowblocktime
Cluster,10,BLOCKCHAIN,40,270.07,251.77,300.07,TRUE,sum
Cluster,10,BLOCKCHAIN,40,241.71,243.53,273.71,TRUE,sumzeroblocktime
Cluster,10,HADOOP,0,24.15,56.70,62.75,TRUE,sumlowblocktime
Cluster,10,HADOOP,0,24.15,56.70,62.75,TRUE,sum
Cluster,10,HADOOP,0,24.15,56.70,62.75,TRUE,sumzeroblocktime
Cluster,10,HADOOP,10,24.15,56.70,62.75,TRUE,sumlowblocktime
Cluster,10,HADOOP,10,24.15,56.70,62.75,TRUE,sum
Cluster,10,HADOOP,10,24.15,56.70,62.75,TRUE,sumzeroblocktime
Cluster,10,HADOOP,20,24.15,56.70,62.75,TRUE,sumlowblocktime
Cluster,10,HADOOP,20,24.15,56.70,62.75,TRUE,sum
Cluster,10,HADOOP,20,24.15,56.70,62.75,TRUE,sumzeroblocktime
Cluster,10,HADOOP,30,24.15,56.70,62.75,TRUE,sumlowblocktime
Cluster,10,HADOOP,30,24.15,56.70,62.75,TRUE,sum
Cluster,10,HADOOP,30,24.15,56.70,62.75,TRUE,sumzeroblocktime
Cluster,10,HADOOP,40,24.15,56.70,62.75,TRUE,sumlowblocktime
Cluster,10,HADOOP,40,24.15,56.70,62.75,TRUE,sum
Cluster,10,HADOOP,40,24.15,56.70,62.75,TRUE,sumzeroblocktime
Cluster,10,HADOOP_BFT,0,24.15,48.42,54.48,TRUE,sumlowblocktime
Cluster,10,HADOOP_BFT,0,24.15,48.42,54.48,TRUE,sum
Cluster,10,HADOOP_BFT,0,24.15,48.42,54.48,TRUE,sumzeroblocktime
Cluster,10,HADOOP_BFT,10,48.19,72.28,78.37,TRUE,sumlowblocktime
Cluster,10,HADOOP_BFT,10,48.19,72.28,78.37,TRUE,sum
Cluster,10,HADOOP_BFT,10,48.19,72.28,78.37,TRUE,sumzeroblocktime
Cluster,10,HADOOP_BFT,20,72.23,90.37,102.41,TRUE,sumlowblocktime
Cluster,10,HADOOP_BFT,20,72.23,90.37,102.41,TRUE,sum
Cluster,10,HADOOP_BFT,20,72.23,90.37,102.41,TRUE,sumzeroblocktime
Cluster,10,HADOOP_BFT,30,96.27,114.30,126.38,TRUE,sumlowblocktime
Cluster,10,HADOOP_BFT,30,96.27,114.30,126.38,TRUE,sum
Cluster,10,HADOOP_BFT,30,96.27,114.30,126.38,TRUE,sumzeroblocktime
Cluster,10,HADOOP_BFT,40,120.29,138.38,150.51,TRUE,sumlowblocktime
Cluster,10,HADOOP_BFT,40,120.29,138.38,150.51,TRUE,sum
Cluster,10,HADOOP_BFT,40,120.29,138.38,150.51,TRUE,sumzeroblocktime
Cluster,10,MARS_M,0,38.04,78.04,78.04,TRUE,sumlowblocktime
Cluster,10,MARS_M,0,60.03,120.03,120.04,TRUE,sum
Cluster,10,MARS_M,0,33.08,65.08,65.08,TRUE,sumzeroblocktime
Cluster,10,MARS_M,10,94.11,134.11,134.11,TRUE,sumlowblocktime
Cluster,10,MARS_M,10,114.09,174.09,174.10,TRUE,sum
Cluster,10,MARS_M,10,88.20,121.20,121.21,TRUE,sumzeroblocktime
Cluster,10,MARS_M,20,150.18,190.18,190.18,TRUE,sumlowblocktime
Cluster,10,MARS_M,20,165.15,225.15,225.15,TRUE,sum
Cluster,10,MARS_M,20,142.32,176.32,176.33,TRUE,sumzeroblocktime
Cluster,10,MARS_M,30,196.23,236.24,236.25,TRUE,sumlowblocktime
Cluster,10,MARS_M,30,216.20,276.20,276.21,TRUE,sum
Cluster,10,MARS_M,30,186.38,219.39,219.39,TRUE,sumzeroblocktime
Cluster,10,MARS_M,40,242.29,282.30,282.30,TRUE,sumlowblocktime
Cluster,10,MARS_M,40,267.26,327.26,327.26,TRUE,sum
Cluster,10,MARS_M,40,,,TRUE,sumzeroblocktime
Cluster,10,MARS_S,0,43.54,67.03,83.55,TRUE,sumlowblocktime
Cluster,10,MARS_S,0,60.04,89.02,120.05,TRUE,sum
Cluster,10,MARS_S,0,,,TRUE,sumzeroblocktime
Cluster,10,MARS_S,10,104.61,114.58,144.61,TRUE,sumlowblocktime
Cluster,10,MARS_S,10,121.10,134.05,181.11,TRUE,sum
Cluster,10,MARS_S,10,,,TRUE,sumzeroblocktime
Cluster,10,MARS_S,20,165.67,175.64,205.67,TRUE,sumlowblocktime
Cluster,10,MARS_S,20,181.16,194.12,241.17,TRUE,sum
Cluster,10,MARS_S,20,156.68,165.67,189.70,TRUE,sumzeroblocktime
Cluster,10,MARS_S,30,222.23,224.20,262.23,TRUE,sumlowblocktime
Cluster,10,MARS_S,30,241.23,254.18,301.23,TRUE,sum
Cluster,10,MARS_S,30,217.74,217.72,249.75,TRUE,sumzeroblocktime
Cluster,10,MARS_S,40,284.29,278.25,324.30,TRUE,sumlowblocktime
Cluster,10,MARS_S,40,301.79,299.23,361.79,TRUE,sum
Cluster,10,MARS_S,40,293.80,288.28,326.82,TRUE,sumzeroblocktime
