Topology,NumberOfNodes,Platform,Byzantine,MapDuration,ReduceDuration,TotalDuration,Updated,Config
Cluster,10,BLOCKCHAIN,0,600.16,582.14,645.16,TRUE,sum
Cluster,10,BLOCKCHAIN,100,600.16,582.14,645.16,TRUE,sum
Cluster,10,BLOCKCHAIN,10,600.16,582.14,645.16,TRUE,sum
Cluster,10,BLOCKCHAIN,20,600.16,582.14,645.16,TRUE,sum
Cluster,10,BLOCKCHAIN,30,600.16,582.14,645.16,TRUE,sum
Cluster,10,BLOCKCHAIN,40,600.16,582.14,645.16,TRUE,sum
Cluster,10,BLOCKCHAIN,50,600.16,582.14,645.16,TRUE,sum
Cluster,10,BLOCKCHAIN,60,600.16,582.14,645.16,TRUE,sum
Cluster,10,BLOCKCHAIN,80,600.16,582.14,645.16,TRUE,sum
Cluster,10,HADOOP,0,24.15,56.70,62.75,TRUE,sum
Cluster,10,HADOOP_BFT,0,24.15,48.42,54.48,TRUE,sum
Cluster,10,HADOOP_BFT,100,240.48,246.41,270.57,TRUE,sum
Cluster,10,HADOOP_BFT,10,48.19,72.28,78.37,TRUE,sum
Cluster,10,HADOOP_BFT,20,72.23,90.38,102.42,TRUE,sum
Cluster,10,HADOOP_BFT,30,96.27,114.27,126.35,TRUE,sum
Cluster,10,HADOOP_BFT,40,120.29,138.29,150.42,TRUE,sum
Cluster,10,HADOOP_BFT,50,144.36,156.38,174.45,TRUE,sum
Cluster,10,HADOOP_BFT,60,168.38,180.39,198.51,TRUE,sum
Cluster,10,HADOOP_BFT,80,216.46,222.45,246.55,TRUE,sum
Cluster,10,MARS,0,60.02,90.01,105.02,TRUE,sum
Cluster,10,MARS,100,600.16,585.14,645.16,TRUE,sum
Cluster,10,MARS,10,180.05,195.04,225.05,TRUE,sum
Cluster,10,MARS,20,300.08,315.07,345.08,TRUE,sum
Cluster,10,MARS,30,405.11,405.09,450.11,TRUE,sum
Cluster,10,MARS,40,510.13,495.12,555.14,TRUE,sum
Cluster,10,MARS,50,600.16,585.14,645.16,TRUE,sum
Cluster,10,MARS,60,600.16,585.14,645.16,TRUE,sum
Cluster,10,MARS,80,600.16,585.14,645.16,TRUE,sum
