Topology,NumberOfNodes,Platform,Byzantine,Power,Time,Updated,Config
Cluster,10,MARS,0,16673000448.000000,2.960970,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,3.000000,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.036751,TRUE,sum
Cluster,10,MARS,0,0.000000,9.010085,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.307962,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,2.645202,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,3.000000,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.044557,TRUE,sum
Cluster,10,MARS,0,0.000000,9.002279,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.389545,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,2.563619,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,3.000000,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.044557,TRUE,sum
Cluster,10,MARS,0,0.000000,9.006182,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.367226,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,2.582035,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,3.000000,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.048460,TRUE,sum
Cluster,10,MARS,0,0.000000,56.959346,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,2.964873,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,3.000000,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.032848,TRUE,sum
Cluster,10,MARS,0,0.000000,9.010085,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.269466,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,2.687601,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,3.000000,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.040654,TRUE,sum
Cluster,10,MARS,0,0.000000,9.002279,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.351050,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,2.606017,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,3.000000,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.040654,TRUE,sum
Cluster,10,MARS,0,0.000000,9.006182,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.328731,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,2.624433,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,3.000000,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.044557,TRUE,sum
Cluster,10,MARS,0,0.000000,56.963249,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,2.968776,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,3.000000,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.028945,TRUE,sum
Cluster,10,MARS,0,0.000000,9.010085,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.230971,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,2.729999,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,3.000000,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.036751,TRUE,sum
Cluster,10,MARS,0,0.000000,9.002279,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.312555,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,2.648415,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,3.000000,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.036751,TRUE,sum
Cluster,10,MARS,0,0.000000,9.006182,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.290236,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,2.666831,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,3.000000,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.040654,TRUE,sum
Cluster,10,MARS,0,0.000000,56.967152,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,2.972679,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,3.000000,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.025042,TRUE,sum
Cluster,10,MARS,0,0.000000,9.010085,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.192476,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,2.772397,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,3.000000,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.032848,TRUE,sum
Cluster,10,MARS,0,0.000000,9.002279,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.274060,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,2.690813,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,3.000000,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.032848,TRUE,sum
Cluster,10,MARS,0,0.000000,9.006182,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.251741,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,2.709229,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,3.000000,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.036751,TRUE,sum
Cluster,10,MARS,0,0.000000,56.971055,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,2.976582,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,3.000000,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.021139,TRUE,sum
Cluster,10,MARS,0,0.000000,9.010085,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.153981,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,2.814795,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,3.000000,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.028945,TRUE,sum
Cluster,10,MARS,0,0.000000,9.002279,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.235565,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,2.733211,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,3.000000,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.028945,TRUE,sum
Cluster,10,MARS,0,0.000000,9.006182,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.213245,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,2.751628,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,3.000000,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.032848,TRUE,sum
Cluster,10,MARS,0,0.000000,56.974958,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,2.980485,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,3.000000,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.017236,TRUE,sum
Cluster,10,MARS,0,0.000000,9.010085,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.115486,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,2.857193,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,3.000000,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.025042,TRUE,sum
Cluster,10,MARS,0,0.000000,9.002279,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.197069,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,2.775610,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,3.000000,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.025042,TRUE,sum
Cluster,10,MARS,0,0.000000,9.006182,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.174750,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,2.794026,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,3.000000,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.028945,TRUE,sum
Cluster,10,MARS,0,0.000000,56.978861,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,2.984388,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,3.000000,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.013333,TRUE,sum
Cluster,10,MARS,0,0.000000,9.010085,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.076990,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,2.899592,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,3.000000,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.021139,TRUE,sum
Cluster,10,MARS,0,0.000000,9.002279,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.158574,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,2.818008,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,3.000000,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.021139,TRUE,sum
Cluster,10,MARS,0,0.000000,9.006182,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.136255,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,2.836424,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,3.000000,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.025042,TRUE,sum
Cluster,10,MARS,0,0.000000,56.982764,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,2.988291,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,3.000000,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.009430,TRUE,sum
Cluster,10,MARS,0,0.000000,9.010085,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.038495,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,2.941990,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,3.000000,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.017236,TRUE,sum
Cluster,10,MARS,0,0.000000,9.002279,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.120079,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,2.860406,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,3.000000,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.017236,TRUE,sum
Cluster,10,MARS,0,0.000000,9.006182,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.097760,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,2.878822,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,3.000000,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.021139,TRUE,sum
Cluster,10,MARS,0,0.000000,56.986667,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,2.992194,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,3.000000,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.005527,TRUE,sum
Cluster,10,MARS,0,0.000000,9.010085,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,2.984388,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,3.000000,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.013333,TRUE,sum
Cluster,10,MARS,0,0.000000,9.002279,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.081584,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,2.902804,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,3.000000,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.013333,TRUE,sum
Cluster,10,MARS,0,0.000000,9.006182,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.059265,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,2.921220,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,3.000000,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.017236,TRUE,sum
Cluster,10,MARS,0,0.000000,56.990570,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,2.996097,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,3.000000,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.001624,TRUE,sum
Cluster,10,MARS,0,0.000000,9.006182,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.003903,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.003903,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.038495,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.003903,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.038495,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.003903,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.038496,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.003903,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.038495,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.003903,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.038495,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.003903,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.038495,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.003903,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.038495,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.003903,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.038496,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.003903,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.038495,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.100000,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.100000,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.100000,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.100000,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.100000,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.100000,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.100000,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.100000,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.100000,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.100000,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.100000,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.100000,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.100000,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.100000,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.100000,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.100000,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.100000,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.100000,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.100000,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.100000,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.100000,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.100000,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.100000,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.100000,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.100000,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.100000,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.006707,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.093293,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.100000,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.100000,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.100000,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.100000,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.100000,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.100000,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.100000,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.100000,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.100000,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.100000,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.100000,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.100000,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.100000,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.100000,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.100000,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.100000,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.100000,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.100000,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.100000,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.100000,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.100000,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.100000,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.100000,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.100000,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.100000,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.100000,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.100000,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.100000,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.100000,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.006707,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.005527,TRUE,sum
Cluster,10,MARS,0,0.000000,9.006182,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.081584,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.003903,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.038495,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.003903,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.038495,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.003903,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.038495,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.003903,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.038496,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.003903,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.038495,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.003903,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.038495,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.003903,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.038495,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.003903,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.038495,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.003903,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.038496,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.100000,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.100000,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.100000,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.100000,TRUE,sum
Cluster,10,MARS,0,16673000448.000000,0.100000,TRUE,sum
