task_id,phase,worker_id,time,action,shuffle_end
0_0_0,MAP,0,0.004,START,
0_1_0,MAP,1,0.012,START,
0_2_0,MAP,2,0.020,START,
0_3_0,MAP,3,0.027,START,
0_4_0,MAP,4,0.035,START,
0_5_0,MAP,5,0.043,START,
0_6_0,MAP,6,0.051,START,
0_7_0,MAP,7,0.059,START,
0_8_0,MAP,8,0.066,START,
0_9_0,MAP,9,0.074,START,
0_10_0,MAP,10,0.082,START,
0_11_0,MAP,11,0.090,START,
0_12_0,MAP,12,0.098,START,
0_13_0,MAP,13,0.105,START,
0_14_0,MAP,14,0.113,START,
0_15_0,MAP,15,0.121,START,
0_16_0,MAP,16,0.129,START,
0_17_0,MAP,17,0.137,START,
0_18_0,MAP,18,0.144,START,
0_19_0,MAP,19,0.152,START,
0_20_0,MAP,20,0.160,START,
0_21_0,MAP,21,0.168,START,
0_22_0,MAP,22,0.176,START,
0_23_0,MAP,23,0.183,START,
0_24_0,MAP,24,0.191,START,
0_25_0,MAP,25,0.199,START,
0_26_0,MAP,26,0.207,START,
0_27_0,MAP,27,0.215,START,
0_28_0,MAP,28,0.222,START,
0_29_0,MAP,29,0.230,START,
0_30_0,MAP,30,0.238,START,
0_31_0,MAP,31,0.246,START,
0_32_0,MAP,32,0.254,START,
0_33_0,MAP,33,0.262,START,
0_34_0,MAP,34,0.269,START,
0_35_0,MAP,35,0.277,START,
0_36_0,MAP,36,0.285,START,
0_37_0,MAP,37,0.293,START,
0_38_0,MAP,38,0.308,START,
0_39_0,MAP,39,0.332,START,
0_0_0,MAP,0,6.009,END,0.000
0_1_0,MAP,1,6.017,END,0.000
0_2_0,MAP,2,6.025,END,0.000
0_3_0,MAP,3,6.033,END,0.000
1_0_0,REDUCE,3,6.037,START,
0_4_0,MAP,4,6.045,END,0.000
0_5_0,MAP,5,6.052,END,0.000
0_6_0,MAP,6,6.060,END,0.000
0_7_0,MAP,7,6.068,END,0.000
0_8_0,MAP,8,6.076,END,0.000
0_9_0,MAP,9,6.084,END,0.000
0_10_0,MAP,10,6.091,END,0.000
0_11_0,MAP,11,6.099,END,0.000
0_12_0,MAP,12,6.107,END,0.000
0_13_0,MAP,13,6.115,END,0.000
0_14_0,MAP,14,6.123,END,0.000
0_15_0,MAP,15,6.130,END,0.000
0_16_0,MAP,16,6.138,END,0.000
0_17_0,MAP,17,6.146,END,0.000
0_18_0,MAP,18,6.154,END,0.000
0_19_0,MAP,19,6.162,END,0.000
0_20_0,MAP,20,6.169,END,0.000
0_21_0,MAP,21,6.177,END,0.000
0_22_0,MAP,22,6.185,END,0.000
0_23_0,MAP,23,6.193,END,0.000
0_24_0,MAP,24,6.201,END,0.000
0_25_0,MAP,25,6.208,END,0.000
0_26_0,MAP,26,6.216,END,0.000
0_27_0,MAP,27,6.224,END,0.000
0_28_0,MAP,28,6.232,END,0.000
0_29_0,MAP,29,6.240,END,0.000
0_30_0,MAP,30,6.248,END,0.000
0_31_0,MAP,31,6.255,END,0.000
0_32_0,MAP,32,6.263,END,0.000
0_33_0,MAP,33,6.271,END,0.000
0_34_0,MAP,34,6.279,END,0.000
0_35_0,MAP,35,6.287,END,0.000
0_36_0,MAP,36,6.294,END,0.000
0_37_0,MAP,37,6.302,END,0.000
0_38_0,MAP,38,6.329,END,0.000
0_39_0,MAP,39,6.353,END,0.000
1_0_0,REDUCE,3,42.769,END,12.770
